Letter	Frequency	Code
------	---------	----
r	147		0000
l	154		0001
V	9		00111000
P	9		00111001
L	1		00111010010
E	1		00111010011
A	2		0011101000
j	5		001110101
S	10		00111011
,	49		001111
p	75		00110
n	158		0010
b	26		0111110
g	28		0111111
v	53		011110
c	105		01110
a	203		0110
e	328		010
t	215		1000
u	225		1001
C	1		10110000010
Q	2		10110000011
U	3		1011000000
N	7		101100001
I	2		10110001110
F	2		10110001111
D	4		1011000110
M	8		101100010

	31		1011001
.	62		101101
m	127		10111
s	233		1010
h	17		11110010
f	18		11110011
q	32		1111000
d	71		111101
o	140		11111
i	262		1110
 	487		110
